// # Language: German
altar_category_armor|Rüstung
worldmap_mission_2_description|Die Kirajins haben im waldigen Hain Fuß gefasst und mithilfe des robusten Holzes eine Festung gebaut. Hüte dich vor dem Kreaturen aus dem Wald und kommandiere deine Armee um die Kirajins zu besiegen!
worldmap_mission_2_title|Festung im Hain
worldmap_mission_3_description|Die Kirajin wurden zwar einst geschlagen, jedoch sind sie zurück und wütender als zuvor! Sie sind entschlossen die Position aufrecht zu erhalten, was es auch kosten mag! Mache die Festungen erneut dem Erdboden gleich und halte die Kirajin so zurück!
worldmap_mission_3_title|Kirajin Feste im Patapine Hain: Lv.
worldmap_mission_4_description|Patapon Späher haben erschreckende Neuigkeiten zu berichten. Die Kirajin haben in den Tiefen der Ejiji Klippen begonnen eine gigantische Festung zu erbauen welche als Grundstein dienen soll gegen die Patapon Armee vorzugehen! Anscheinend ist die zukünftige Festung mit mächtiger Kirajin-Technologie ausgestattet, die nie zuvor gesehen wurde. Zeige Mut, sei furchtlos und halte die Kirajin auf, bevor sie die Festung errichten können!
worldmap_mission_4_title|Erweitertes Arsenal
worldmap_mission_5_description|Selbst nachdem die Kirajin eine zerschmetternde Niederlage erlitten haben, erlauben sie es sich nicht aufzugeben. Sie sind fest entschlossen erneut um den Standort zu kämpfen, selbst wenn es ihnen das Leben kostet. Meden warnt in einem düsteren Ton, “Dieser Kampf wird noch schwieriger zu gewinnen sein als der letzte.”.
worldmap_mission_5_title|Unerbittliche Kirajin in den Ejiji Klippen: Lv.
worldmap_mission_6_description|Zu dieser Jahreszeit wird das Shida-Tal mit Schnee bedeckt, während die eisigen Winde vom Meer in der Nähe der Patapole-Brücke kommen. Dies ist eine perfekte Gelegenheit für seltene Tiere um aus ihren Nestern zu kriechen und unter dem Eis nach Fischen zu suchen. Manchmal können wirklich seltene Arten auftauchen ...
worldmap_mission_6_title|Schneebedeckte Farne des Shida-Tals
worldmap_select|Wähle eine Mission
// # Translated by: 
// @Iracy
// @DriftStar
// @Oimate
// @DriftStar
// @Iracy
