// # Language: Esperanto
altar_category_armor|Kiraso
worldmap_mission_1_description|Multe da bestoj kolektas en la valon por ŝanco por trovado manĝeblaj plantoj kaj fungoj. Uzu tiun oportunon por ĉasi la estuloj por nutri viajn Pataponojn! Famoj diras ke la valo holdas nekonatan trezoron.
worldmap_mission_1_title|Ĉasado en Valo Ŝido
worldmap_mission_2_description|La Kiraĝinoj fondis bazon por piedoj en la arba Patapino Bosko! Uzate la fortika ligno el la ĉirkaŭaj arboj, ili konstruis fortreson. Kolektu vian armeon kaj neniigu la fortreson dum estado singardema pro estuloj de la arbaro!
worldmap_mission_2_title|Fortreso en la Arbaro
worldmap_mission_3_description|La Kiraĝinoj eble estis venkita tiam, sed ili revenis, pli forta ol iam. Ili estas decida por holdi tiun pozicion kaj la kosto ne gravas. Venku la fortreson ankoraŭfoje por holdi la Kiraĝinajn armeojn for!
worldmap_mission_3_title|Kiraĝina Fortreso en Patapino Bosko: Nvl.
worldmap_mission_4_description|Patapona skoltoj raportis ke en Klifoj Eĝiĝio, la Kiraĝinoj komencis konstruaĵon kun grandega fortreso por servi kiel bazon de operacio kontraŭ la Patapona armeo. Laŭraportate, la estonta fortreso estis fortikigi kun potenca Kiraĝina teknologio, kiu la Pataponoj neniam antaŭe vidis. Estu brava kaj sentima kaj neniigu tiun fortreson antaŭ ĝi estas kompleta.
worldmap_mission_4_title|Altnivelaj Ekipaĵoj
worldmap_mission_5_description|Eĉ post detruado tiam ilia fortreso, la Kiraĝinoj malpermesiĝos malvenki denove. Ili estas celkonscia por batalado pro tiu loko eĉ se tio kostas iliajn vivojn. Meden avertas kun grimaca tono en ŝian voĉon, "Estos eĉ pli malmola ol la antaŭa batalo".
worldmap_mission_5_title|Obstina Kiraĝinoj en Klifoj Eĝiĝio: Nvl.
worldmap_mission_6_description|En ĉi tio tempo de la jaro, Valo Ŝido kovrigas kun neĝo, dum la frostaj ventoj el la oceano apud la Patastango ponto alvenas. Estas perfekta oportuno por raraj bestoj por veni el ilia nestoj kaj ĉasi fiŝon sub glacio. Iafoje, vere raraj specioj povas aperiĝi...
worldmap_mission_6_title|Neĝo-kovrita filikoj de Valo Ŝido
worldmap_select|Elekti mision
// # Translated by: 
// @Artur Płatkowski
// @Artur Płatkowski
