// # Language: Vietnamese
altar_category_armor|Giáp
tip7_desc|Sen là một nữ tư tế của thời đại Patapon cổ đại. \\ Sen là mối liên kết trực tiếp giữa Patapons và\ Thần Patapon, và đã sống qua rất nhiều thế hệ Patapon. \\ Ranpurupon rất quan tâm đến mọi Patapon,\đã nuôi nấng và dạy dỗ những đứa trẻ của bộ tộc. \\Sen sẽ làm bất cứ điều gì để giúp bộ tộc phát triển.
tip7_title|Sen Ranpurupon ở Patapolis cổ đại
tip8_desc|Bạn có biết rằng các Patapon cũng tổ chức lễ Giáng sinh không? \\ Vào dịp lễ Giáng sinh, các Patapon trang trí \ Patapolis bằng những đồ trang trí đầy màu sắc. \\ Các Patapon nhỏ tuổi chờ đợi Santapon, người cho họ những gì họ mong ước. \\ Thông thường họ sẽ nhận được những vũ khí đầu tiên để bắt đầu \ chiến đấu cho thần Patapon, để đến tới Earthend!
tip8_title|Giáng Sinh tại Patapolis
tips_anykey|Bấm nút bất kỳ để tiếp tục!
tips_loading|Đang Tải
worldmap_header_1|Bản đồ thế giới
worldmap_location_1_description|Không khí biển ẩm thổi vào thung lũng này tạo nên một môi trường sống hoàn hảo cho các loại thực vật, cho phép các loài dương xỉ bản địa phát triển đến độ cao khủng khiếp! Qua nhiều thế hệ, các bộ tộc khác nhau đã sử dụng khu vực màu mỡ này làm nơi săn bắt động vật và hái rau dại. Khung cảnh kỳ lạ của những loài thực vật khổng lồ có thể gây mất phương hướng, và những tin đồn vẫn tồn tại những bí mật ẩn giấu ở đâu đó trong khu vực.
worldmap_location_1_title|~Thung Lũng Shida~
worldmap_location_2_description|Những cây thông trong khu rừng này nổi tiếng với chiều cao khổng lồ và sự chắc chắn khi được sử dụng làm vật liệu xây dựng. Những Patapon làm nghề thợ mộc được biết đã kiếm sống ở đây bằng cách chặt những cây này để sử dụng cho xây dựng. Có tin đồn rằng các nàng tiên phát triển mạnh từ những cây nấm ăn được ở sâu trong rừng.
worldmap_location_2_title|~ Rừng Patapine ~
worldmap_location_3_description|Vách núi Ejiji từng chứng kiến thời kỳ của của những con rồng hùng mạnh trước khi chúng biến mất khỏi nơi sinh của chúng vì những lý do mà người dân Rolitoland không biết, và cung cấp một vị trí tốt để xây dựng nhà cửa và pháo đài được che giấu khỏi tầm nhìn. Rarepons dòng dõi Gyaba có nguồn gốc từ khu vực này và một số vẫn còn sống trên các vách đá cho đến ngày nay, nhưng nhiều dòng dõi Patapon này đã trở nên phổ biến trên toàn thế giới.
worldmap_location_3_title|~ Vách núi Ejiji
worldmap_location_locked|~ Chưa mở ~
worldmap_mission_1_description|Nhiều loài động vật tụ tập trong thung lũng để có cơ hội tìm thấy các loài thực vật và nấm có thể ăn được. Sử dụng cơ hội này để săn các sinh vật để nuôi Patapons của bạn! Tin đồn có nói rằng thung lũng này chứa một kho báu chưa được biết đến.
worldmap_mission_1_title|Săn bắt ở Thung lũng Shida
worldmap_mission_2_description|Kirajins đã tạo dựng được chỗ đứng tại Rừng Patapine! Sử dụng loại gỗ chắc chắn từ những cây xung quanh, họ đã xây dựng một pháo đài. Tập hợp lực lượng của bạn và phá hủy pháo đài trong khi giữ cảnh giác với những sinh vật từ rừng!
worldmap_mission_2_title|Pháo đài ở trong rừng Patapine
worldmap_mission_3_description|Kirajins có thể đã bị đánh bại một lần, nhưng chúng đã trở lại, mạnh mẽ hơn bao giờ hết. Chúng quyết tâm giữ vị trí này bằng mọi giá. Đánh bại pháo đài một lần nữa để kìm hãm lực lượng Kirajin!
worldmap_mission_3_title|Pháo đài Kirajins ở Rừng Patapine: Cấp
worldmap_mission_4_description|Các trinh sát của Patapon đã báo cáo rằng tại Vách núi Ejiji, Kirajins đã bắt đầu xây dựng một pháo đài lớn để làm căn cứ hoạt động chống lại lực lượng Patapon. Theo các báo cáo, pháo đài sắp được củng cố bằng công nghệ Kirajin mạnh mẽ, công nghệ mà các Patapon chưa từng thấy trước đây. Hãy dũng cảm và không sợ hãi, và phá hủy pháo đài này trước khi nó hoàn thành.
worldmap_mission_4_title|Vũ khí nâng cao
worldmap_mission_5_description|Ngay cả sau khi phá hủy pháo đài của họ, các Kirajins không cho phép mình thua thêm một lần nữa. Chúng quyết tâm chiến đấu cho vị trí này ngay cả khi phải trả giá bằng mạng sống. Meden cảnh báo bằng một giọng đầy dữ tợn, “Trận chiến này sẽ còn khó khăn hơn trận chiến vừa rồi”.
worldmap_mission_5_title|Kirajins tại Vách núi Ejiji: Cấp
worldmap_mission_6_description|Vào thời gian này trong năm, Thung lũng Shida được bao phủ bởi tuyết, khi những cơn gió lạnh giá từ đại dương gần Cầu Patapole thổi tới. Đó là cơ hội hoàn hảo để các loài động vật quý hiếm chui ra khỏi tổ và săn cá dưới lớp băng. Đôi khi, những loài thú thực sự quý hiếm có thể xuất hiện...
worldmap_mission_6_title|Dương xỉ phủ tuyết ở Thung lũng Shida
worldmap_select|Chọn nhiệm vụ
// # Translated by: 
// @HarryR
// @Harry
